#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
-495,0.052170782,64,GO:0015695,organic cation transport,0.122369163,BP
708,0.052401679,31,GO:0045475,locomotor rhythm,0.122782177,BP
-707,0.052661143,31,GO:0032506,cytokinetic process,0.123261191,BP
337,0.053364175,138,GO:0051249,regulation of lymphocyte activation,0.124776359,BP
567,0.053527126,48,GO:0051495,positive regulation of cytoskeleton organization,0.125026863,BP
-621,0.053665667,40,GO:0048844,artery morphogenesis,0.125219889,BP
572,0.053842952,47,GO:0019751,polyol metabolic process,0.125502823,BP
218,0.054284801,336,GO:0048534,hematopoietic or lymphoid organ development,0.126401199,BP
-462,0.054420551,72,GO:0010389;GO:1902749,regulation of cell cycle G2/M phase transition,0.126585706,BP
207,0.054495317,376,GO:0002064,epithelial cell development,0.126628124,BP
-350,0.055989065,125,GO:0009165,nucleotide biosynthetic process,0.129964255,BP
-343,0.056114036,130,GO:0046474,glycerophospholipid biosynthetic process,0.130119503,BP
310,0.057135262,158,GO:0002694,regulation of leukocyte activation,0.132301402,BP
663,0.057233745,34,GO:0070252,actin-mediated cell contraction,0.132301402,BP
348,0.057281811,125,GO:0016197,endosomal transport,0.132301402,BP
604,0.057291232,41,GO:0045444,fat cell differentiation,0.132301402,BP
384,0.05752715,102,GO:0001841,neural tube formation,0.132695793,BP
-552,0.057629679,49,GO:0061640,cytoskeleton-dependent cytokinesis,0.132695793,BP
-536,0.057653535,52,GO:0031646,positive regulation of neurological system process,0.132695793,BP
652,0.057698974,35,GO:0008333,endosome to lysosome transport,0.132695793,BP
154,0.057762987,695,GO:0044270,cellular nitrogen compound catabolic process,0.13270676,BP
-332,0.057998965,137,GO:0017038,protein import,0.133112379,BP
459,0.061222974,69,GO:0071229,cellular response to acid chemical,0.140228272,BP
-574,0.061224665,44,GO:0070206,protein trimerization,0.140228272,BP
-538,0.061502272,50,GO:0009062,fatty acid catabolic process,0.140720215,BP
609,0.061680144,39,GO:0008088,axo-dendritic transport,0.140983185,BP
331,0.062544523,133,GO:0052547,regulation of peptidase activity,0.14267862,BP
382,0.062549288,99,GO:0071559,response to transforming growth factor beta,0.14267862,BP
303,0.06360927,158,GO:0006887,exocytosis,0.144948897,BP
-688,0.063870657,30,GO:0043038,amino acid activation,0.145396617,BP
561,0.064321647,45,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,0.146274607,BP
-161,0.06460564,592,GO:1903047,mitotic cell cycle process,0.146660388,BP
-573,0.064622233,43,GO:0000096,sulfur amino acid metabolic process,0.146660388,BP
353,0.064972629,114,GO:0050982,detection of mechanical stimulus,0.147306366,BP
-208,0.065117663,341,GO:0051301,cell division,0.147450004,BP
184,0.065168334,440,GO:0009203,ribonucleoside triphosphate catabolic process,0.147450004,BP
653,0.065233462,33,GO:0046688,response to copper ion,0.147450004,BP
-289,0.065418376,171,GO:0006650,glycerophospholipid metabolic process,0.147718914,BP
375,0.06617799,100,GO:0045665,negative regulation of neuron differentiation,0.149283684,BP
467,0.066617026,64,GO:0050796,regulation of insulin secretion,0.150122875,BP
-474,0.066893407,62,GO:0006720,isoprenoid metabolic process,0.150594202,BP
-555,0.067090229,45,GO:0030204,chondroitin sulfate metabolic process,0.150885656,BP
188,0.067333916,415,GO:0043066,negative regulation of apoptotic process,0.151281818,BP
341,0.067500751,120,GO:0032496,response to lipopolysaccharide,0.151504691,BP
180,0.06760387,452,GO:0009154;GO:0009261,purine ribonucleotide catabolic process,0.151584252,BP
480,0.067709412,60,GO:0002443,leukocyte mediated immunity,0.151669082,BP
438,0.068220213,72,GO:0010976,positive regulation of neuron projection development,0.152660616,BP
-426,0.068776081,76,GO:0030203,glycosaminoglycan metabolic process,0.153626286,BP
-327,0.068788913,130,GO:0031503,protein-containing complex localization,0.153626286,BP
518,0.069115912,51,GO:0040015,negative regulation of multicellular organism growth,0.154202833,BP
-673,0.069701836,30,GO:0042693,muscle cell fate commitment,0.155355335,BP
181,0.07001698,441,GO:0009146,purine nucleoside triphosphate catabolic process,0.155902619,BP
582,0.070356788,40,GO:0071359,cellular response to dsRNA,0.156503679,BP
511,0.07053986,52,GO:0048488;GO:0140238,presynaptic endocytosis,0.156755245,BP
176,0.070800852,463,GO:0032774,RNA biosynthetic process,0.157179295,BP
338,0.071242507,119,GO:0007612,learning,0.157893543,BP
595,0.071296457,38,GO:0016203,muscle attachment,0.157893543,BP
-430,0.071334047,73,GO:0007304,chorion-containing eggshell formation,0.157893543,BP
529,0.071526933,48,GO:0070372,regulation of ERK1 and ERK2 cascade,0.158164196,BP
-403,0.071636018,83,GO:0061333,renal tubule morphogenesis,0.158249192,BP
667,0.072196419,30,GO:0098930,axonal transport,0.159330028,BP
-593,0.072283326,38,GO:0060079,excitatory postsynaptic potential,0.159364813,BP
465,0.07254831,62,GO:0010921,regulation of phosphatase activity,0.159791754,BP
284,0.073311134,168,GO:0001894,tissue homeostasis,0.161313301,BP
-347,0.073593577,111,GO:0006352,"DNA-templated transcription, initiation",0.161775871,BP
-575,0.073859363,40,GO:0061180,mammary gland epithelium development,0.162200953,BP
-525,0.074160286,48,GO:0007306,eggshell chorion assembly,0.162702293,BP
662,0.074396583,30,GO:0035304,regulation of protein dephosphorylation,0.16301887,BP
178,0.074450136,439,GO:0009207,purine ribonucleoside triphosphate catabolic process,0.16301887,BP
524,0.074717301,48,GO:1990778,protein localization to cell periphery,0.163444095,BP
611,0.075278395,35,GO:1901616,organic hydroxy compound catabolic process,0.164452911,BP
436,0.075325307,69,GO:0043652,engulfment of apoptotic cell,0.164452911,BP
565,0.075519149,41,GO:0032006,regulation of TOR signaling,0.164715573,BP
-312,0.076012736,136,GO:0031023,microtubule organizing center organization,0.165630864,BP
-562,0.076707656,41,GO:0033212,iron import into cell,0.166982653,BP
310,0.077141659,136,GO:0090068,positive regulation of cell cycle process,0.167764386,BP
434,0.077293697,69,GO:0018279,protein N-linked glycosylation via asparagine,0.167867286,BP
514,0.077338857,49,GO:0008064;GO:0030832,regulation of actin polymerization or depolymerization,0.167867286,BP
-567,0.07789793,40,GO:0002440,production of molecular mediator of immune response,0.168917098,BP
316,0.07802947,130,GO:0051098,regulation of binding,0.169038697,BP
511,0.078747507,49,GO:0035006,melanization defense response,0.170429386,BP
630,0.079451603,32,GO:0050907,detection of chemical stimulus involved in sensory perception,0.171714311,BP
172,0.079494527,458,GO:0006195,purine nucleotide catabolic process,0.171714311,BP
316,0.079910904,129,GO:0045055,regulated exocytosis,0.172447423,BP
435,0.080320416,67,GO:0090276,regulation of peptide hormone secretion,0.173164324,BP
-649,0.080480451,30,GO:2000179,positive regulation of neural precursor cell proliferation,0.17321076,BP
-355,0.080496608,101,GO:0019827;GO:0098727,stem cell population maintenance,0.17321076,BP
-354,0.081408024,101,GO:0097164,ammonium ion metabolic process,0.175003814,BP
-567,0.08152146,39,GO:0009954,proximal/distal pattern formation,0.175079645,BP
-582,0.081755492,37,GO:0030947,regulation of vascular endothelial growth factor receptor signaling pathway,0.175414083,BP
481,0.08231103,54,GO:0072347,response to anesthetic,0.176437041,BP
370,0.082594834,92,GO:0030178,negative regulation of Wnt signaling pathway,0.176876126,BP
139,0.083222897,709,GO:0019439,aromatic compound catabolic process,0.178050898,BP
-642,0.083606122,30,GO:0033077,T cell differentiation in thymus,0.178659812,BP
-484,0.083667028,53,GO:0045844;GO:1901863,positive regulation of striated muscle tissue development,0.178659812,BP
542,0.084066468,42,GO:0050830,defense response to Gram-positive bacterium,0.179341797,BP
-199,0.084190735,324,GO:0009314,response to radiation,0.179436009,BP
421,0.084363318,70,GO:0050974,detection of mechanical stimulus involved in sensory perception,0.179632921,BP
428,0.085329356,67,GO:0002920,regulation of humoral immune response,0.181517338,BP
-638,0.085442933,30,GO:0060349,bone morphogenesis,0.1815865,BP
160,0.085714719,511,GO:0009144,purine nucleoside triphosphate metabolic process,0.18199144,BP
434,0.08593891,65,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.182294657,BP
286,0.08609051,151,GO:0050803,regulation of synapse structure or activity,0.182443466,BP
504,0.086383565,48,GO:0060359,response to ammonium ion,0.182891479,BP
616,0.086472377,32,GO:0032104;GO:0032107,regulation of response to extracellular stimulus,0.182906632,BP
405,0.087279896,74,GO:0051701,interaction with host,0.184440535,BP
-634,0.087512663,30,GO:0048665,neuron fate specification,0.18475812,BP
244,0.087734672,207,GO:0006875,cellular metal ion homeostasis,0.185052415,BP
-496,0.087932443,49,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,0.185295082,BP
603,0.088293529,33,GO:1903312,negative regulation of mRNA metabolic process,0.185881114,BP
321,0.089360686,117,GO:0050807,regulation of synapse organization,0.187951114,BP
465,0.090108538,55,GO:0006582,melanin metabolic process,0.189346271,BP
168,0.090297293,445,GO:0009143,nucleoside triphosphate catabolic process,0.189565076,BP
478,0.090676549,52,GO:0043297,apical junction assembly,0.190014666,BP
-538,0.090681106,41,GO:0060323,head morphogenesis,0.190014666,BP
403,0.091026968,73,GO:1905952,regulation of lipid localization,0.190561129,BP
617,0.091298126,31,GO:0050919,negative chemotaxis,0.190950328,BP
361,0.091488173,91,GO:0030307,positive regulation of cell growth,0.191169317,BP
371,0.091663111,86,GO:0008593,regulation of Notch signaling pathway,0.191240663,BP
373,0.091693068,85,GO:0043524,negative regulation of neuron apoptotic process,0.191240663,BP
411,0.091819281,70,GO:0018196,peptidyl-asparagine modification,0.191325758,BP
517,0.092083668,44,GO:0022408,negative regulation of cell-cell adhesion,0.191698343,BP
-605,0.092182421,32,GO:0021952,central nervous system projection neuron axonogenesis,0.191725742,BP
210,0.092344609,275,GO:0060541,respiratory system development,0.191884902,BP
-334,0.092863143,106,GO:0061008,hepaticobiliary system development,0.192783541,BP
153,0.093222385,535,GO:0003002,regionalization,0.193175227,BP
623,0.093224295,30,GO:0044126;GO:0044130;GO:0044146;GO:0044144,negative regulation of growth of symbiont involved in interaction with host,0.193175227,BP
289,0.094045901,141,GO:2000147,positive regulation of cell motility,0.194697615,BP
-451,0.094366299,57,GO:0006694,steroid biosynthetic process,0.195086989,BP
184,0.094447619,360,GO:0010608,posttranscriptional regulation of gene expression,0.195086989,BP
251,0.09449526,187,GO:0001745,compound eye morphogenesis,0.195086989,BP
180,0.095941429,373,GO:0051130,positive regulation of cellular component organization,0.197890241,BP
-269,0.096633403,161,GO:0018205,peptidyl-lysine modification,0.199134151,BP
433,0.097176363,61,GO:0048678,response to axon injury,0.200068984,BP
514,0.097308147,43,GO:0048259,regulation of receptor-mediated endocytosis,0.200156335,BP
595,0.097996292,32,GO:0090263,positive regulation of canonical Wnt signaling pathway,0.201386875,BP
-545,0.098530582,38,GO:0033206,meiotic cytokinesis,0.20229927,BP
490,0.099042894,47,GO:0072659,protein localization to plasma membrane,0.203112212,BP
530,0.099107878,40,GO:1905879,regulation of oogenesis,0.203112212,BP
162,0.099317512,458,GO:0034656,nucleobase-containing small molecule catabolic process,0.203355782,BP
-410,0.099712397,67,GO:0006353,"DNA-templated transcription, termination",0.203405987,BP
238,0.099715448,202,GO:0007472,wing disc morphogenesis,0.203405987,BP
-340,0.09971932,98,GO:0010212,response to ionizing radiation,0.203405987,BP
383,0.099787628,77,GO:0042990,obsolete regulation of transcription factor import into nucleus,0.203405987,BP
158,0.099796062,477,GO:0009166,nucleotide catabolic process,0.203405987,BP
564,0.100571228,35,GO:0048013,ephrin receptor signaling pathway,0.204767051,BP
162,0.100704766,450,GO:0042454,ribonucleoside catabolic process,0.204767051,BP
487,0.100738076,47,GO:0071222,cellular response to lipopolysaccharide,0.204767051,BP
-442,0.1011923,57,GO:0022037,metencephalon development,0.205503854,BP
148,0.101462234,549,GO:0072358;GO:0072359,cardiovascular system development,0.205865403,BP
-597,0.101828282,31,GO:0055081,anion homeostasis,0.206110273,BP
393,0.101834756,72,GO:0048771,tissue remodeling,0.206110273,BP
496,0.101858961,45,GO:2000736,regulation of stem cell differentiation,0.206110273,BP
-356,0.102255379,88,GO:0048066,developmental pigmentation,0.206725675,BP
532,0.102469859,39,GO:0043534,blood vessel endothelial cell migration,0.20687087,BP
162,0.102511905,449,GO:0006152;GO:0046130,purine nucleoside catabolic process,0.20687087,BP
212,0.102812533,253,GO:0035220,wing disc development,0.207196087,BP
-569,0.102858058,34,GO:0009072,aromatic amino acid family metabolic process,0.207196087,BP
323,0.104029737,106,GO:0006839,mitochondrial transport,0.209368025,BP
266,0.105155556,156,GO:0051961,negative regulation of nervous system development,0.211443848,BP
159,0.105378996,455,GO:0009164,nucleoside catabolic process,0.211703095,BP
549,0.105511069,36,GO:0006446,regulation of translational initiation,0.211739428,BP
564,0.105586134,34,GO:0030148,sphingolipid biosynthetic process,0.211739428,BP
-258,0.105791814,166,GO:0048864,stem cell development,0.211962132,BP
-527,0.105979821,39,GO:0042733,embryonic digit morphogenesis,0.21214906,BP
335,0.106132553,97,GO:0071560,cellular response to transforming growth factor beta stimulus,0.212265107,BP
399,0.106514094,68,GO:0002250,adaptive immune response,0.212653547,BP
-338,0.106600164,95,GO:0048593,camera-type eye morphogenesis,0.212653547,BP
474,0.106611577,48,GO:0062013,positive regulation of small molecule metabolic process,0.212653547,BP
220,0.107126937,228,GO:0030003,cellular cation homeostasis,0.213491406,BP
398,0.107639338,68,GO:2000242,negative regulation of reproductive process,0.214321882,BP
-231,0.107805219,205,GO:0030900,forebrain development,0.214461536,BP
422,0.108408361,60,GO:0031334,positive regulation of protein complex assembly,0.215470033,BP
498,0.108786177,43,GO:0017015;GO:1903844,regulation of transforming growth factor beta receptor signaling pathway,0.215693114,BP
440,0.108803606,55,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.215693114,BP
-347,0.108825114,89,GO:0006367,transcription initiation from RNA polymerase II promoter,0.215693114,BP
432,0.10905638,57,GO:0090090,negative regulation of canonical Wnt signaling pathway,0.215693114,BP
-448,0.109095765,53,GO:0042439,ethanolamine-containing compound metabolic process,0.215693114,BP
-471,0.109098347,48,GO:0021515,cell differentiation in spinal cord,0.215693114,BP
-515,0.109195253,40,GO:0071383,cellular response to steroid hormone stimulus,0.215694326,BP
-515,0.109558857,40,GO:0016571,histone methylation,0.216221885,BP
-435,0.109817101,56,GO:0060042,retina morphogenesis in camera-type eye,0.216540762,BP
438,0.110984582,55,GO:0007632,visual behavior,0.21849094,BP
442,0.111001201,54,GO:0051668,localization within membrane,0.21849094,BP
506,0.111131379,41,GO:1900371;GO:0030808,regulation of purine nucleotide biosynthetic process,0.218535255,BP
248,0.111218835,174,GO:0010720,positive regulation of cell development,0.218535255,BP
159,0.111520196,442,GO:0040012,regulation of locomotion,0.218935353,BP
-477,0.112157187,46,GO:0050654,chondroitin sulfate proteoglycan metabolic process,0.219956903,BP
-511,0.112236938,40,GO:0043401,steroid hormone mediated signaling pathway,0.219956903,BP
199,0.11233764,273,GO:0006979,response to oxidative stress,0.219961812,BP
154,0.113921416,466,GO:0072523,purine-containing compound catabolic process,0.222868098,BP
363,0.114127183,79,GO:0010950,positive regulation of endopeptidase activity,0.223075819,BP
